"dia_ocu","mes_ocu","dia_sem_ocu","hora_ocu","depto_ocu","mupio_ocu","zona_ocu","sexo_fall_les","edad_fall_les","tipo_vehi","color_vehi","causa_acc","estado_implicado","year"
1,"Enero","Domingo",12,"Guatemala","Guatemala","3","Mujer","32","Automovil","Rojo","Colision","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Guatemala","3","Mujer","69","Automovil","Verde","Colision","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Guatemala","3","Hombre","76","Automovil","Verde","Colision","Lesionado",2012
1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Ignorado","Hombre","52","Pick up","Gris","Choque","Lesionado",2012
1,"Enero","Domingo",10,"Guatemala","Santa Catarina Pinula","Ignorado","Hombre","47","Pick up","Gris","Choque","Lesionado",2012
1,"Enero","Domingo",9,"Guatemala","Mixco","6","Hombre","28","Motocicleta","Rojo","Colision","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Mixco","1","Hombre","36","Bus urbano","Rojo","Vuelco","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Mixco","1","Hombre","52","Bus urbano","Rojo","Vuelco","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Mixco","1","Mujer","17","Bus urbano","Rojo","Vuelco","Lesionado",2012
1,"Enero","Domingo",12,"Guatemala","Mixco","1","Mujer","25","Bus urbano","Rojo","Vuelco","Lesionado",2012
2,"Enero","Lunes",22,"Guatemala","Guatemala","3","Hombre","22","Automovil","Blanco","Colision","Lesionado",2012
2,"Enero","Lunes",22,"Guatemala","Fraijanes","Ignorado","Hombre","23","Motocicleta","Rojo","Colision","Lesionado",2012
2,"Enero","Lunes",13,"Guatemala","Mixco","3","Mujer","50","Automovil","Blanco","Colision","Lesionado",2012
2,"Enero","Lunes",22,"Guatemala","Mixco","4","Hombre","30","Motocicleta","Rojo","Vuelco","Lesionado",2012
2,"Enero","Lunes",22,"Guatemala","Mixco","4","Mujer","39","Motocicleta","Rojo","Vuelco","Lesionado",2012
3,"Enero","Martes",19,"Guatemala","Palencia","Ignorado","Hombre","24","Motocicleta","Rojo","Vuelco","Lesionado",2012
3,"Enero","Martes",19,"Guatemala","Palencia","Ignorado","Mujer","19","Motocicleta","Rojo","Vuelco","Lesionado",2012
3,"Enero","Martes",6,"Guatemala","Fraijanes","Ignorado","Mujer","26","Automovil","Verde","Colision","Fallecido",2012
3,"Enero","Martes",6,"Guatemala","Fraijanes","Ignorado","Hombre","33","Camioneta","Cafe","Colision","Fallecido",2012
3,"Enero","Martes",18,"Guatemala","Guatemala","10","Mujer","35","Camioneta","Gris","Colision","Lesionado",2012
4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Ignorado","Hombre","23","Motocicleta","Corinto","Colision","Fallecido",2012
4,"Enero","Miercoles",16,"Guatemala","Villa Nueva","Ignorado","Hombre","14","Motocicleta","Corinto","Colision","Lesionado",2012
4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Ignorado","Hombre","44","Pick up","Verde","Choque","Lesionado",2012
4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Ignorado","Hombre","16","Pick up","Verde","Choque","Lesionado",2012
4,"Enero","Miercoles",10,"Guatemala","Villa Nueva","Ignorado","Hombre","18","Pick up","Verde","Choque","Lesionado",2012
5,"Enero","Jueves",18,"Guatemala","Guatemala","6","Hombre","17","Motocicleta","Ignorado","Colision","Lesionado",2012
5,"Enero","Jueves",9,"Guatemala","Villa Nueva","12","Hombre","20","Motocicleta","Rojo","Colision","Lesionado",2012
7,"Enero","Sabado",21,"Guatemala","Guatemala","1","Hombre","27","Pick up","Negro","Colision","Lesionado",2012
7,"Enero","Sabado",21,"Guatemala","Guatemala","1","Hombre","22","Pick up","Negro","Colision","Lesionado",2012
7,"Enero","Sabado",22,"Guatemala","Guatemala","17","Mujer","4","Automovil","Blanco","Colision","Lesionado",2012
8,"Enero","Domingo",1,"Guatemala","Guatemala","12","Mujer","22","Automovil","Ignorado","Choque","Lesionado",2012
9,"Enero","Lunes",0,"Guatemala","Santa Catarina Pinula","Ignorado","Hombre","22","Motocicleta","Ignorado","Vuelco","Fallecido",2012
11,"Enero","Miercoles",9,"Guatemala","Villa Nueva","4","Hombre","23","Motocicleta","Negro","Colision","Lesionado",2012
12,"Enero","Jueves",21,"Guatemala","Petapa","Ignorado","Hombre","21","Motocicleta","Azul","Colision","Lesionado",2012
12,"Enero","Jueves",5,"Guatemala","Guatemala","6","Mujer","24","Automovil","Azul","Choque","Lesionado",2012
13,"Enero","Sabado",4,"Guatemala","Guatemala","11","Hombre","22","Automovil","Blanco","Choque","Lesionado",2012
13,"Enero","Sabado",4,"Guatemala","Guatemala","11","Hombre","26","Automovil","Blanco","Choque","Fallecido",2012
14,"Enero","Domingo",3,"Guatemala","Guatemala","1","Hombre","24","Motocicleta","Azul","Colision","Lesionado",2012
14,"Enero","Domingo",3,"Guatemala","Guatemala","1","Hombre","33","Motocicleta","Azul","Colision","Lesionado",2012
14,"Enero","Domingo",17,"Guatemala","Guatemala","18","Hombre","27","Motocicleta","Negro","Colision","Fallecido",2012
14,"Enero","Domingo",17,"Guatemala","Guatemala","18","Hombre","50","Motocicleta","Negro","Colision","Lesionado",2012
14,"Enero","Domingo",1,"Guatemala","Guatemala","21","Hombre","27","Pick up","Azul","Colision","Lesionado",2012
16,"Enero","Lunes",3,"Guatemala","Santa Catarina Pinula","Ignorado","Hombre","19","Automovil","Azul","Colision","Lesionado",2012
16,"Enero","Lunes",3,"Guatemala","Santa Catarina Pinula","Ignorado","Mujer","16","Automovil","Azul","Colision","Lesionado",2012
16,"Enero","Lunes",3,"Guatemala","Santa Catarina Pinula","Ignorado","Mujer","20","Automovil","Azul","Colision","Lesionado",2012
16,"Enero","Lunes",3,"Guatemala","Santa Catarina Pinula","Ignorado","Hombre","19","Automovil","Azul","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","1","Hombre","22","Pick up","Gris","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","1","Hombre","20","Motocicleta","Rojo","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","1","Hombre","21","Motocicleta","Rojo","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","3","Mujer","27","Pick up","Cafe","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","3","Mujer","18","Pick up","Cafe","Colision","Lesionado",2012
17,"Enero","Martes",21,"Guatemala","Guatemala","3","Hombre","46","Pick up","Cafe","Colision","Lesionado",2012
17,"Enero","Martes",16,"Guatemala","Guatemala","1","Hombre","50","Automovil","Amarillo","Colision","Lesionado",2012
17,"Enero","Martes",16,"Guatemala","Guatemala","1","Hombre","33","Motocicleta","Negro","Colision","Lesionado",2012
18,"Enero","Miercoles",21,"Guatemala","Guatemala","1","Hombre","24","Automovil","Negro","Colision","Lesionado",2012
18,"Enero","Miercoles",21,"Guatemala","Guatemala","1","Mujer","22","Automovil","Negro","Colision","Lesionado",2012
18,"Enero","Miercoles",2,"Guatemala","Fraijanes","Ignorado","Hombre","22","Motocicleta","Negro","Choque","Lesionado",2012
19,"Enero","Jueves",20,"Guatemala","Guatemala","1","Hombre","20","Motocicleta","Ignorado","Colision","Lesionado",2012
19,"Enero","Jueves",3,"Guatemala","Guatemala","18","Hombre","22","Automovil","Negro","Choque","Fallecido",2012
19,"Enero","Jueves",16,"Guatemala","Guatemala","6","Hombre","Ignorado","Motocicleta","Azul","Colision","Lesionado",2012
19,"Enero","Jueves",23,"Guatemala","Guatemala","18","Mujer","29","Automovil","Negro","Colision","Lesionado",2012
19,"Enero","Jueves",0,"Guatemala","Guatemala","7","Mujer","41","Automovil","Negro","Vuelco","Lesionado",2012
20,"Enero","Viernes",18,"Guatemala","Mixco","4","Hombre","26","Bus urbano","Rojo","Colision","Lesionado",2012
21,"Enero","Sabado",7,"Guatemala","Guatemala","9","Hombre","26","Motocicleta","Azul","Colision","Lesionado",2012
21,"Enero","Sabado",20,"Guatemala","Guatemala","1","Hombre","25","Motocicleta","Azul","Colision","Lesionado",2012
21,"Enero","Sabado",18,"Guatemala","Guatemala","1","Hombre","32","Motocicleta","Negro","Choque","Lesionado",2012
21,"Enero","Sabado",22,"Guatemala","Guatemala","6","Mujer","23","Motocicleta","Gris","Colision","Lesionado",2012
21,"Enero","Sabado",15,"Guatemala","Guatemala","5","Hombre","41","Motocicleta","Rojo","Colision","Lesionado",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","7","Hombre","26","Motocicleta","Ignorado","Colision","Lesionado",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","7","Hombre","22","Motocicleta","Ignorado","Colision","Lesionado",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","11","Hombre","25","Pick up","Blanco","Colision","Fallecido",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","11","Hombre","26","Pick up","Blanco","Colision","Fallecido",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","11","Hombre","23","Pick up","Blanco","Colision","Lesionado",2012
21,"Enero","Sabado",2,"Guatemala","Guatemala","11","Hombre","27","Pick up","Blanco","Colision","Lesionado",2012
21,"Enero","Sabado",13,"Guatemala","Guatemala","11","Hombre","Ignorado","Motocicleta","Negro","Colision","Fallecido",2012
21,"Enero","Sabado",15,"Guatemala","Guatemala","12","Hombre","Ignorado","Pick up","Ignorado","Colision","Lesionado",2012
21,"Enero","Sabado",15,"Guatemala","Guatemala","12","Hombre","Ignorado","Pick up","Ignorado","Colision","Lesionado",2012
21,"Enero","Sabado",15,"Guatemala","Guatemala","12","Hombre","Ignorado","Pick up","Ignorado","Colision","Lesionado",2012
21,"Enero","Sabado",22,"Guatemala","Mixco","1","Hombre","24","Motocicleta","Rojo","Colision","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","60","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Mujer","22","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","60","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","15","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","15","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","22","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Mujer","32","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","5","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Mujer","11","Pick up","Rojo","Vuelco","Lesionado",2012
22,"Enero","Domingo",18,"Guatemala","Villa Nueva","Ignorado","Hombre","9","Pick up","Rojo","Vuelco","Lesionado",2012
23,"Enero","Lunes",1,"Guatemala","Mixco","6","Hombre","21","Motocicleta","Anaranjado","Vuelco","Lesionado",2012
23,"Enero","Lunes",1,"Guatemala","Mixco","6","Hombre","33","Motocicleta","Anaranjado","Vuelco","Lesionado",2012
24,"Enero","Martes",15,"Guatemala","Guatemala","11","Hombre","26","Camion","Blanco","Colision","Lesionado",2012
24,"Enero","Martes",15,"Guatemala","Guatemala","11","Hombre","19","Camion","Blanco","Colision","Lesionado",2012
24,"Enero","Martes",12,"Guatemala","San Juan Sacatepequez","Ignorado","Hombre","41","Motocicleta","Rojo","Colision","Lesionado",2012
24,"Enero","Martes",12,"Guatemala","San Juan Sacatepequez","Ignorado","Hombre","23","Motocicleta","Rojo","Colision","Lesionado",2012
25,"Enero","Miercoles",8,"Guatemala","Guatemala","5","Hombre","50","Motocicleta","Rojo","Colision","Lesionado",2012
